[2024-06-21 17:25:46] CPU: 0.00%, DB: 83.00(83.00%), Memory: 1632.4MB(20.47%)
[2024-06-21 17:36:59] CPU: 0.00%, DB: 83.00(83.00%), Memory: 1593.0MB(19.98%)
[2024-06-21 17:37:00] CPU: 0.75%, DB: 86.00(86.00%), Memory: 1593.5MB(19.99%)
[2024-06-21 17:37:01] CPU: 0.56%, DB: 77.00(77.00%), Memory: 1593.0MB(19.98%)
[2024-06-21 17:37:02] CPU: 0.50%, DB: 15.00(15.00%), Memory: 1595.2MB(20.01%)
[2024-06-21 17:37:03] CPU: 0.75%, DB: 93.00(93.00%), Memory: 1595.4MB(20.01%)
[2024-06-21 17:37:04] CPU: 0.88%, DB: 21.00(21.00%), Memory: 1596.7MB(20.03%)
[2024-06-21 17:37:05] CPU: 0.50%, DB: 62.00(62.00%), Memory: 1594.9MB(20.00%)
[2024-06-21 17:37:06] CPU: 0.38%, DB: 27.00(27.00%), Memory: 1596.6MB(20.02%)
[2024-06-21 17:37:07] CPU: 0.44%, DB: 90.00(90.00%), Memory: 1595.6MB(20.01%)
[2024-06-21 17:37:08] CPU: 0.56%, DB: 59.00(59.00%), Memory: 1596.8MB(20.03%)
[2024-06-21 17:37:09] CPU: 0.97%, DB: 72.00(72.00%), Memory: 1597.1MB(20.03%)
[2024-06-21 17:37:10] CPU: 0.62%, DB: 36.00(36.00%), Memory: 1598.4MB(20.05%)
[2024-06-21 17:37:11] CPU: 0.31%, DB: 11.00(11.00%), Memory: 1596.6MB(20.02%)
[2024-06-21 17:37:12] CPU: 0.38%, DB: 68.00(68.00%), Memory: 1597.4MB(20.03%)
[2024-06-21 17:37:13] CPU: 0.62%, DB: 67.00(67.00%), Memory: 1596.1MB(20.02%)
[2024-06-21 17:37:14] CPU: 0.43%, DB: 23.00(23.00%), Memory: 1597.3MB(20.03%)
[2024-06-21 17:37:15] CPU: 0.75%, DB: 67.00(67.00%), Memory: 1597.2MB(20.03%)
[2024-06-21 17:37:16] CPU: 0.93%, DB: 35.00(35.00%), Memory: 1596.5MB(20.02%)
[2024-06-21 17:37:17] CPU: 0.44%, DB: 29.00(29.00%), Memory: 1597.2MB(20.03%)
[2024-06-21 17:37:18] CPU: 0.62%, DB: 2.00(2.00%), Memory: 1597.7MB(20.04%)
[2024-06-21 17:37:19] CPU: 0.92%, DB: 93.00(93.00%), Memory: 1598.9MB(20.05%)
[2024-06-21 17:37:20] CPU: 0.56%, DB: 56.00(56.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:37:21] CPU: 0.56%, DB: 11.00(11.00%), Memory: 1599.2MB(20.06%)
[2024-06-21 17:37:22] CPU: 0.31%, DB: 42.00(42.00%), Memory: 1599.7MB(20.06%)
[2024-06-21 17:37:23] CPU: 0.75%, DB: 29.00(29.00%), Memory: 1598.2MB(20.04%)
[2024-06-21 17:37:24] CPU: 0.68%, DB: 37.00(37.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:37:25] CPU: 0.75%, DB: 98.00(98.00%), Memory: 1598.2MB(20.04%)
[2024-06-21 17:37:26] CPU: 0.44%, DB: 24.00(24.00%), Memory: 1599.2MB(20.06%)
[2024-06-21 17:37:27] CPU: 0.81%, DB: 15.00(15.00%), Memory: 1597.6MB(20.04%)
[2024-06-21 17:37:28] CPU: 0.44%, DB: 70.00(70.00%), Memory: 1595.9MB(20.02%)
[2024-06-21 17:37:29] CPU: 1.34%, DB: 56.00(56.00%), Memory: 1598.9MB(20.05%)
[2024-06-21 17:37:30] CPU: 0.44%, DB: 73.00(73.00%), Memory: 1598.6MB(20.05%)
[2024-06-21 17:37:31] CPU: 1.00%, DB: 62.00(62.00%), Memory: 1598.4MB(20.05%)
[2024-06-21 17:37:32] CPU: 0.31%, DB: 70.00(70.00%), Memory: 1598.6MB(20.05%)
[2024-06-21 17:37:33] CPU: 1.12%, DB: 96.00(96.00%), Memory: 1598.6MB(20.05%)
[2024-06-21 17:37:34] CPU: 0.61%, DB: 27.00(27.00%), Memory: 1598.4MB(20.05%)
[2024-06-21 17:37:35] CPU: 1.18%, DB: 36.00(36.00%), Memory: 1598.1MB(20.04%)
[2024-06-21 17:37:36] CPU: 0.25%, DB: 5.00(5.00%), Memory: 1598.1MB(20.04%)
[2024-06-21 17:37:37] CPU: 1.06%, DB: 46.00(46.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:37:38] CPU: 0.44%, DB: 29.00(29.00%), Memory: 1601.1MB(20.08%)
[2024-06-21 17:37:39] CPU: 1.17%, DB: 82.00(82.00%), Memory: 1598.3MB(20.05%)
[2024-06-21 17:37:40] CPU: 0.31%, DB: 45.00(45.00%), Memory: 1598.2MB(20.05%)
[2024-06-21 17:37:41] CPU: 1.24%, DB: 14.00(14.00%), Memory: 1600.0MB(20.07%)
[2024-06-21 17:37:42] CPU: 0.25%, DB: 67.00(67.00%), Memory: 1598.5MB(20.05%)
[2024-06-21 17:37:43] CPU: 0.93%, DB: 34.00(34.00%), Memory: 1599.7MB(20.06%)
[2024-06-21 17:37:44] CPU: 0.85%, DB: 8.00(8.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:37:45] CPU: 0.69%, DB: 76.00(76.00%), Memory: 1598.3MB(20.05%)
[2024-06-21 17:37:46] CPU: 0.38%, DB: 78.00(78.00%), Memory: 1597.9MB(20.04%)
[2024-06-21 17:37:47] CPU: 0.56%, DB: 88.00(88.00%), Memory: 1598.5MB(20.05%)
[2024-06-21 17:37:48] CPU: 0.87%, DB: 84.00(84.00%), Memory: 1597.4MB(20.03%)
[2024-06-21 17:37:49] CPU: 0.74%, DB: 32.00(32.00%), Memory: 1597.1MB(20.03%)
[2024-06-21 17:37:50] CPU: 0.38%, DB: 60.00(60.00%), Memory: 1595.9MB(20.02%)
[2024-06-21 17:37:51] CPU: 1.12%, DB: 76.00(76.00%), Memory: 1595.6MB(20.01%)
[2024-06-21 17:37:52] CPU: 0.75%, DB: 68.00(68.00%), Memory: 1596.3MB(20.02%)
[2024-06-21 17:37:53] CPU: 0.81%, DB: 39.00(39.00%), Memory: 1597.6MB(20.04%)
[2024-06-21 17:37:54] CPU: 1.20%, DB: 39.00(39.00%), Memory: 1597.3MB(20.03%)
[2024-06-21 17:37:55] CPU: 0.63%, DB: 95.00(95.00%), Memory: 1598.6MB(20.05%)
[2024-06-21 17:37:56] CPU: 0.75%, DB: 70.00(70.00%), Memory: 1598.6MB(20.05%)
[2024-06-21 17:37:57] CPU: 0.50%, DB: 34.00(34.00%), Memory: 1597.9MB(20.04%)
[2024-06-21 17:37:58] CPU: 1.06%, DB: 78.00(78.00%), Memory: 1598.1MB(20.04%)
[2024-06-21 17:37:59] CPU: 0.55%, DB: 17.00(17.00%), Memory: 1596.5MB(20.02%)
[2024-06-21 17:38:00] CPU: 0.81%, DB: 92.00(92.00%), Memory: 1596.0MB(20.02%)
[2024-06-21 17:38:01] CPU: 0.69%, DB: 52.00(52.00%), Memory: 1595.4MB(20.01%)
[2024-06-21 17:38:02] CPU: 0.56%, DB: 56.00(56.00%), Memory: 1596.7MB(20.03%)
[2024-06-21 17:38:03] CPU: 0.88%, DB: 1.00(1.00%), Memory: 1596.4MB(20.02%)
[2024-06-21 17:38:04] CPU: 0.55%, DB: 89.00(89.00%), Memory: 1597.2MB(20.03%)
[2024-06-21 17:38:05] CPU: 0.81%, DB: 44.00(44.00%), Memory: 1598.2MB(20.04%)
[2024-06-21 17:38:06] CPU: 1.56%, DB: 19.00(19.00%), Memory: 1595.9MB(20.02%)
[2024-06-21 17:38:07] CPU: 0.56%, DB: 40.00(40.00%), Memory: 1596.6MB(20.03%)
[2024-06-21 17:38:08] CPU: 0.75%, DB: 29.00(29.00%), Memory: 1597.6MB(20.04%)
[2024-06-21 17:38:09] CPU: 0.68%, DB: 81.00(81.00%), Memory: 1598.3MB(20.05%)
[2024-06-21 17:38:10] CPU: 0.56%, DB: 75.00(75.00%), Memory: 1598.8MB(20.05%)
[2024-06-21 17:38:11] CPU: 0.69%, DB: 9.00(9.00%), Memory: 1598.8MB(20.05%)
[2024-06-21 17:38:12] CPU: 0.75%, DB: 27.00(27.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:38:13] CPU: 1.18%, DB: 67.00(67.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:38:14] CPU: 1.16%, DB: 65.00(65.00%), Memory: 1599.2MB(20.06%)
[2024-06-21 17:38:15] CPU: 0.81%, DB: 6.00(6.00%), Memory: 1598.5MB(20.05%)
[2024-06-21 17:38:16] CPU: 0.31%, DB: 83.00(83.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:38:17] CPU: 0.69%, DB: 19.00(19.00%), Memory: 1597.7MB(20.04%)
[2024-06-21 17:38:18] CPU: 0.75%, DB: 24.00(24.00%), Memory: 1597.7MB(20.04%)
[2024-06-21 17:38:19] CPU: 0.86%, DB: 3.00(3.00%), Memory: 1600.0MB(20.07%)
[2024-06-21 17:38:20] CPU: 0.75%, DB: 19.00(19.00%), Memory: 1598.9MB(20.05%)
[2024-06-21 17:38:21] CPU: 0.44%, DB: 70.00(70.00%), Memory: 1599.6MB(20.06%)
[2024-06-21 17:38:22] CPU: 0.69%, DB: 68.00(68.00%), Memory: 1599.6MB(20.06%)
[2024-06-21 17:38:23] CPU: 0.38%, DB: 8.00(8.00%), Memory: 1599.6MB(20.06%)
[2024-06-21 17:38:24] CPU: 1.47%, DB: 23.00(23.00%), Memory: 1600.8MB(20.08%)
[2024-06-21 17:38:25] CPU: 0.38%, DB: 18.00(18.00%), Memory: 1600.8MB(20.08%)
[2024-06-21 17:38:26] CPU: 0.75%, DB: 45.00(45.00%), Memory: 1600.3MB(20.07%)
[2024-06-21 17:38:27] CPU: 0.25%, DB: 46.00(46.00%), Memory: 1600.8MB(20.08%)
[2024-06-21 17:38:28] CPU: 1.00%, DB: 51.00(51.00%), Memory: 1600.3MB(20.07%)
[2024-06-21 17:38:29] CPU: 0.43%, DB: 64.00(64.00%), Memory: 1603.6MB(20.11%)
[2024-06-21 17:38:30] CPU: 1.12%, DB: 28.00(28.00%), Memory: 1598.5MB(20.05%)
[2024-06-21 17:38:31] CPU: 0.44%, DB: 41.00(41.00%), Memory: 1598.8MB(20.05%)
[2024-06-21 17:38:32] CPU: 0.69%, DB: 50.00(50.00%), Memory: 1598.5MB(20.05%)
[2024-06-21 17:38:33] CPU: 0.38%, DB: 93.00(93.00%), Memory: 1599.0MB(20.05%)
[2024-06-21 17:38:34] CPU: 1.10%, DB: 14.00(14.00%), Memory: 1599.2MB(20.06%)
[2024-06-21 17:38:35] CPU: 0.50%, DB: 87.00(87.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:38:36] CPU: 1.06%, DB: 56.00(56.00%), Memory: 1599.5MB(20.06%)
[2024-06-21 17:38:37] CPU: 0.13%, DB: 43.00(43.00%), Memory: 1599.7MB(20.06%)
[2024-06-21 17:38:38] CPU: 1.24%, DB: 91.00(91.00%), Memory: 1599.7MB(20.06%)
[2024-06-21 17:38:39] CPU: 0.55%, DB: 32.00(32.00%), Memory: 1603.0MB(20.11%)
[2024-06-21 17:38:40] CPU: 1.18%, DB: 51.00(51.00%), Memory: 1600.5MB(20.07%)
[2024-06-21 17:38:41] CPU: 0.44%, DB: 37.00(37.00%), Memory: 1600.2MB(20.07%)
[2024-06-21 17:38:42] CPU: 0.75%, DB: 28.00(28.00%), Memory: 1600.2MB(20.07%)
[2024-06-21 17:38:43] CPU: 0.69%, DB: 75.00(75.00%), Memory: 1600.9MB(20.08%)
[2024-06-21 17:38:44] CPU: 0.98%, DB: 95.00(95.00%), Memory: 1599.6MB(20.06%)
[2024-06-21 17:38:45] CPU: 0.56%, DB: 29.00(29.00%), Memory: 1600.1MB(20.07%)
[2024-06-21 17:38:46] CPU: 0.50%, DB: 37.00(37.00%), Memory: 1599.6MB(20.06%)
[2024-06-21 17:38:47] CPU: 0.62%, DB: 35.00(35.00%), Memory: 1598.3MB(20.05%)
[2024-06-21 17:38:48] CPU: 0.50%, DB: 93.00(93.00%), Memory: 1598.6MB(20.05%)
[2024-06-21 17:38:49] CPU: 0.79%, DB: 28.00(28.00%), Memory: 1599.0MB(20.06%)
[2024-06-21 17:38:50] CPU: 0.69%, DB: 29.00(29.00%), Memory: 1599.7MB(20.06%)
[2024-06-21 17:38:51] CPU: 1.00%, DB: 76.00(76.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:38:52] CPU: 0.62%, DB: 4.00(4.00%), Memory: 1600.7MB(20.08%)
[2024-06-21 17:38:53] CPU: 0.56%, DB: 43.00(43.00%), Memory: 1600.0MB(20.07%)
[2024-06-21 17:38:54] CPU: 0.65%, DB: 40.00(40.00%), Memory: 1598.7MB(20.05%)
[2024-06-21 17:38:55] CPU: 0.50%, DB: 4.00(4.00%), Memory: 1599.9MB(20.07%)
[2024-06-21 17:38:56] CPU: 0.75%, DB: 18.00(18.00%), Memory: 1599.7MB(20.06%)
[2024-06-21 17:38:57] CPU: 0.94%, DB: 28.00(28.00%), Memory: 1599.9MB(20.07%)
[2024-06-21 17:38:58] CPU: 1.18%, DB: 88.00(88.00%), Memory: 1601.0MB(20.08%)
[2024-06-21 17:38:59] CPU: 0.86%, DB: 24.00(24.00%), Memory: 1601.0MB(20.08%)
[2024-06-21 17:39:00] CPU: 0.62%, DB: 43.00(43.00%), Memory: 1602.6MB(20.10%)
[2024-06-21 17:39:01] CPU: 0.31%, DB: 70.00(70.00%), Memory: 1602.1MB(20.09%)
[2024-06-21 17:39:02] CPU: 0.69%, DB: 83.00(83.00%), Memory: 1601.6MB(20.09%)
[2024-06-21 17:39:03] CPU: 0.94%, DB: 90.00(90.00%), Memory: 1602.1MB(20.09%)
[2024-06-21 17:39:04] CPU: 0.72%, DB: 90.00(90.00%), Memory: 1600.9MB(20.08%)
[2024-06-21 17:39:05] CPU: 0.44%, DB: 5.00(5.00%), Memory: 1600.6MB(20.07%)
[2024-06-21 17:39:06] CPU: 0.56%, DB: 39.00(39.00%), Memory: 1600.9MB(20.08%)
[2024-06-21 17:39:07] CPU: 0.75%, DB: 54.00(54.00%), Memory: 1602.3MB(20.10%)
[2024-06-21 17:39:08] CPU: 1.18%, DB: 86.00(86.00%), Memory: 1600.7MB(20.08%)
[2024-06-21 17:39:09] CPU: 0.86%, DB: 97.00(97.00%), Memory: 1600.6MB(20.08%)
[2024-06-21 17:39:10] CPU: 0.81%, DB: 7.00(7.00%), Memory: 1601.6MB(20.09%)
[2024-06-21 17:39:11] CPU: 0.69%, DB: 55.00(55.00%), Memory: 1601.6MB(20.09%)
[2024-06-21 17:39:12] CPU: 0.62%, DB: 4.00(4.00%), Memory: 1601.9MB(20.09%)
[2024-06-21 17:39:13] CPU: 0.88%, DB: 48.00(48.00%), Memory: 1602.6MB(20.10%)
[2024-06-21 17:39:14] CPU: 0.86%, DB: 43.00(43.00%), Memory: 1601.4MB(20.08%)
[2024-06-21 17:39:15] CPU: 0.31%, DB: 46.00(46.00%), Memory: 1600.3MB(20.07%)
[2024-06-21 17:39:16] CPU: 0.81%, DB: 68.00(68.00%), Memory: 1600.3MB(20.07%)
[2024-06-21 17:39:17] CPU: 0.69%, DB: 40.00(40.00%), Memory: 1599.5MB(20.06%)
[2024-06-21 17:39:18] CPU: 0.63%, DB: 22.00(22.00%), Memory: 1599.8MB(20.06%)
[2024-06-21 17:39:19] CPU: 0.92%, DB: 61.00(61.00%), Memory: 1600.5MB(20.07%)
[2024-06-21 17:39:20] CPU: 0.56%, DB: 30.00(30.00%), Memory: 1600.5MB(20.07%)
[2024-06-21 17:39:21] CPU: 0.50%, DB: 78.00(78.00%), Memory: 1599.9MB(20.07%)
[2024-06-21 17:39:22] CPU: 0.69%, DB: 5.00(5.00%), Memory: 1602.0MB(20.09%)
[2024-06-21 17:39:23] CPU: 0.56%, DB: 20.00(20.00%), Memory: 1601.7MB(20.09%)
[2024-06-21 17:39:24] CPU: 0.56%, DB: 65.00(65.00%), Memory: 1601.2MB(20.08%)
[2024-06-21 17:39:25] CPU: 0.50%, DB: 8.00(8.00%), Memory: 1600.2MB(20.07%)
[2024-06-21 17:39:26] CPU: 0.25%, DB: 16.00(16.00%), Memory: 1601.4MB(20.09%)
[2024-06-21 17:39:27] CPU: 1.00%, DB: 82.00(82.00%), Memory: 1601.4MB(20.08%)
[2024-06-21 17:39:28] CPU: 0.56%, DB: 58.00(58.00%), Memory: 1602.4MB(20.10%)
[2024-06-21 17:39:29] CPU: 0.98%, DB: 0.00(0.00%), Memory: 1602.4MB(20.10%)
[2024-06-21 17:39:30] CPU: 0.19%, DB: 36.00(36.00%), Memory: 1604.6MB(20.13%)
[2024-06-21 17:39:31] CPU: 1.00%, DB: 52.00(52.00%), Memory: 1603.7MB(20.11%)
[2024-06-21 17:39:32] CPU: 0.31%, DB: 99.00(99.00%), Memory: 1603.1MB(20.11%)
[2024-06-21 17:39:33] CPU: 0.94%, DB: 79.00(79.00%), Memory: 1605.4MB(20.13%)
[2024-06-21 17:39:35] CPU: 0.67%, DB: 31.00(31.00%), Memory: 1605.9MB(20.14%)
[2024-06-21 17:39:36] CPU: 1.00%, DB: 81.00(81.00%), Memory: 1602.3MB(20.10%)
[2024-06-21 17:39:37] CPU: 0.25%, DB: 30.00(30.00%), Memory: 1602.3MB(20.10%)
[2024-06-21 17:39:38] CPU: 1.18%, DB: 33.00(33.00%), Memory: 1604.3MB(20.12%)
[2024-06-21 17:39:39] CPU: 0.43%, DB: 81.00(81.00%), Memory: 1603.5MB(20.11%)
[2024-06-21 17:39:40] CPU: 0.69%, DB: 99.00(99.00%), Memory: 1604.3MB(20.12%)
[2024-06-21 17:39:41] CPU: 0.50%, DB: 96.00(96.00%), Memory: 1603.5MB(20.11%)
[2024-06-21 17:39:42] CPU: 0.56%, DB: 59.00(59.00%), Memory: 1598.5MB(20.05%)
[2024-06-21 17:39:43] CPU: 0.88%, DB: 73.00(73.00%), Memory: 1606.5MB(20.15%)
